University,Overall_Score,Overall_Rank,Teaching_Score,Teaching_Rank,Research_Score,Research_Rank,Citations_Score,Citations_Rank,Industry_Income_Score,Industry_Income_Rank,International_Outlook_Score,International_Outlook_Rank,Number_of_Students
IFHE Hyderabad,n/a,1000316,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Ilma University,n/a,1000317,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Imam Al-Kadhum College (IKC),n/a,1000318,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
IMT Mines Alès,n/a,1000319,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
"""""Independent University"," Bangladesh""""",n/a,1000320,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0
Indira Gandhi Delhi Technical University for Women,n/a,1000321,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Information Technology University of the Punjab,n/a,1000322,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Innopolis University,n/a,1000323,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Institute of Cancer Research,n/a,1000324,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Universidad Internacional del Ecuador,n/a,1000325,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
International American University,n/a,1000326,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
International Christian University,n/a,1000327,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
International Engineering and Technology University (METU),n/a,1000328,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
International University for the Humanities and Development,n/a,1000329,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
International IT University,n/a,1000330,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
International University of Rabat,n/a,1000331,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Institute of International Relations of the Ministry of Foreign Affairs of Turkmenistan,n/a,1000332,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Inter-State School of Veterinary Sciences and Medicine,n/a,1000333,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Ionian University,n/a,1000334,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Ion Mincu University of Architecture and Urbanism,n/a,1000335,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Iqra University,n/a,1000336,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
The Islamic University,n/a,1000337,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Islamic University of Gaza,n/a,1000338,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Islamic University of Madinah,n/a,1000339,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Universitas Islam Sultan Agung,n/a,1000340,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Isra University,n/a,1000341,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Israel Technological University,n/a,1000342,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Istanbul Arel University,n/a,1000343,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Istanbul Gelişim University,n/a,1000344,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Istanbul Kültür University,n/a,1000345,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Istanbul Okan University,n/a,1000346,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
IUBAT – International University of Business Agriculture and Technology,n/a,1000347,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Universita IULM,n/a,1000348,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Ivano Frankivsk National Technical University of Oil and Gas,n/a,1000349,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Jabir ibn Hayyan Medical University,n/a,1000350,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
