University,Overall_Score,Overall_Rank,Teaching_Score,Teaching_Rank,Research_Score,Research_Rank,Citations_Score,Citations_Rank,Industry_Income_Score,Industry_Income_Rank,International_Outlook_Score,International_Outlook_Rank,Number_of_Students
Niger Delta University,n/a,1000507,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Nihon Pharmaceutical University,n/a,1000508,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Niigata University of Health and Welfare,n/a,1000509,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
University of Niigata Prefecture,n/a,1000510,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Ninevah University,n/a,1000511,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Nitte (Deemed to be University),n/a,1000512,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
University of Northampton,n/a,1000513,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Northeast Ohio Medical University,n/a,1000514,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Northern Border University,n/a,1000515,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Northern Technical University,n/a,1000516,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Norwich University of the Arts,n/a,1000517,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
University Centre of Nour Bachir El-Bayadh,n/a,1000518,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
University of Nova Gorica,n/a,1000519,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Novosibirsk State University of Economics and Management,n/a,1000520,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Nueva Ecija University of Science and Technology (NEUST),n/a,1000521,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Universidad Nur,n/a,1000522,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
October 6 University,n/a,1000523,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
October University for Modern Sciences and Arts (MSA),n/a,1000524,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Odesa I.I. Mechnikov National University,n/a,1000525,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Oguz Han Engineering and Technology University of Turkmenistan,n/a,1000526,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
University of Okara,n/a,1000527,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Omsk State Agrarian University,n/a,1000528,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Open Christian University,n/a,1000529,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
O.P. Jindal Global University,n/a,1000530,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
